COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
64098,64,Bassillon-Vauzé,65,0.0,0,0.0,10.4,0.0,0,0,0.0,10,37,18,74,15
64099,64,Bastanès,96,0.0,0,0.0,20.9,0.0,0,0,0.0,8,37,18,74,18
64100,64,Bassussarry,3317,0.0,0,9.0,34.0,0.0,0,0,0.0,38,37,18,74,31
64101,64,Baudreix,585,0.0,0,0.0,10.7,0.0,0,0,0.0,29,37,18,74,15
64102,64,Bayonne,53312,9.72,2,23.0,95.9,2.23,119,1,1.88,359,169,112,159,130
64103,64,Bédeille,207,0.0,0,0.0,10.4,0.0,0,0,0.0,17,37,18,74,15
64104,64,Bedous,574,0.0,0,4.0,21.5,0.0,0,0,0.0,31,37,18,74,22
64105,64,Béguios,263,0.0,0,7.0,26.0,0.0,0,0,0.0,17,37,18,74,27
64106,64,Béhasque-Lapiste,505,0.0,0,0.0,26.0,0.0,0,0,0.0,26,37,18,74,19
64107,64,Béhorléguy,69,0.0,0,0.0,26.0,0.0,0,0,0.0,14,37,18,74,19
64108,64,Bellocq,911,0.0,0,7.0,26.9,0.0,0,0,0.0,33,37,18,74,27
64109,64,Bénéjacq,1987,0.0,0,0.0,10.7,0.0,0,0,0.0,98,37,18,74,15
64110,64,Béost,228,0.0,0,0.0,12.7,0.0,0,0,0.0,21,37,18,74,15
64111,64,Bentayou-Sérée,108,0.0,0,0.0,22.6,0.0,0,0,0.0,13,37,18,74,18
64112,64,Bérenx,423,0.0,0,3.0,20.9,0.0,0,0,0.0,29,37,18,74,21
64113,64,Bergouey-Viellenave,120,0.0,0,0.0,26.0,0.0,0,0,0.0,17,37,18,74,19
64114,64,Bernadets,587,0.0,0,0.0,18.8,0.0,0,0,0.0,30,37,18,74,17
64115,64,Berrogain-Laruns,156,0.0,0,0.0,26.0,0.0,0,0,0.0,25,37,18,74,19
64116,64,Bescat,248,0.0,0,0.0,21.2,0.0,0,0,0.0,19,37,18,74,18
64117,64,Bésingrand,146,0.0,0,0.0,26.9,0.0,0,0,0.0,14,37,18,74,19
64118,64,Bétracq,48,0.0,0,0.0,10.4,0.0,0,0,0.0,9,37,18,74,15
64119,64,Beuste,675,0.0,0,0.0,10.7,0.0,0,0,0.0,29,37,18,74,15
64120,64,Beyrie-sur-Joyeuse,536,0.0,0,0.0,26.0,0.0,0,0,0.0,24,37,18,74,19
